,drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,chapter,name
21243,ASCORBIC ACID,100,Oral,mg,TDS,Tablets,100 mg,N,NUTRITION AND BLOOD,09.06.03,Pack,28,tablet,09.06.03,Vitamin C
21244,LERCANIDIPINE,20,Oral,mg,ON,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
21248,SOLIFENACIN,20,Oral,mg,OM,Tablets,10 mg,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.02,Pack,30,tablet,07.04.02,Drugs for urinary frequency enuresis and incontinence
21254,DEXAMETHASONE,1,Oral,mg,BD,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,50,tablet,06.03.02,Glucocorticoid therapy
21255,DEXAMETHASONE,1,Oral,mg,BD,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,100,tablet,06.03.02,Glucocorticoid therapy
21256,DEXAMETHASONE,1,Oral,mg,BD,Tablets,2 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,500,tablet,06.03.02,Glucocorticoid therapy
21257,CYANOCOBALAMIN,50,Oral,microgram,BD,Tablets,50 microgram,N,NUTRITION AND BLOOD,09.01.02,Pack,50,tablet,09.01.02,Drugs used in megaloblastic anaemias
21260,NEFOPAM,60,Oral,mg,ON,Tablets,30 mg,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,90,tablet,04.07.01,Non-opioid analgesics and compound preparations
21264,LAMOTRIGINE,300,Oral,mg,BD,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
22050,SENNA,2,Oral,tablet,ON,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,60,tablet,01.06.02,Stimulant laxatives
21274,NORETHISTERONE,10,Oral,mg,TDS,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.04.01,Pack,30,tablet,06.04.01,Female sex hormones and their modulators
21275,DONEPEZIL,10,Oral,mg,OM,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,4.11,Pack,28,tablet,4.11,Drugs for dementia
21276,LAMOTRIGINE,300,Oral,mg,BD,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
21277,LAMOTRIGINE,50,Oral,mg,TDS,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,56,tablet,04.08.01,Control of epilepsy
21284,FUROSEMIDE,40,Oral,mg,BD,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
21290,BUMETANIDE,1,Oral,mg,BD,Tablets,1 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
21293,ALLOPURINOL,100,PO / NG / PEG,mg,OM,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,28,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
21294,AMIODARONE,100,PO / NG / PEG,mg,OM,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,02.03.02,Pack,28,tablet,02.03.02,Drugs for arrhythmias
21295,BUMETANIDE,1,PO / NG / PEG,mg,ON,Tablets,1 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
21296,BUMETANIDE,2,PO / NG / PEG,mg,BD,Tablets,1 mg,N,CARDIVASCULAR SYSTEM,02.02.02,Pack,28,tablet,02.02.02,Loop diuretics
21297,ATORVASTATIN,20,PO / NG / PEG,mg,OD,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
21324,FAMOTIDINE,20,Oral,mg,BD,Tablets,20 mg,N,GASTRO-INTESTINAL SYSTEM,01.03.01,Pack,28,tablet,01.03.01,H2-receptor antagonists
21332,PROPRANOLOL,10,Oral,mg,QDS,Tablets,10 mg,Y,CARDIVASCULAR SYSTEM,2.04,Bottle,28,tablet,2.04,Beta-adrenoceptor blocking drugs
21336,HYOSCINE BUTYLBROMIDE,20,Oral,mg,TDS,Tablets,10 mg,Y,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,56,tablet,1.02,Antispasmodics and other drugs altering gut motility
21345,TOLTERODINE,1,Oral,mg,OM,Tablets,1 mg,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.02,Pack,56,tablet,07.04.02,Drugs for urinary frequency enuresis and incontinence
22051,SENNA,2,Oral,tablet,ON,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,100,tablet,01.06.02,Stimulant laxatives
21361,PROPIVERINE,15,Oral,mg,TDS,Tablets,15 mg,N,OBSTETRICS GYNAECOLOGY URINARY TRACT DISORDERS,07.04.02,Pack,56,tablet,07.04.02,Drugs for urinary frequency enuresis and incontinence
21367,ALIMEMAZINE,10,Oral,mg,ON,Tablets,10 mg,Y,RESPIRATORY SYSTEM,03.04.01,Pack,28,tablet,03.04.01,Antihistamines
21373,BACLOFEN,40,Oral,mg,ON,Tablets,10 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,84,tablet,10.02.02,Skeletal muscle relaxants
21374,BACLOFEN,30,Oral,mg,BD,Tablets,10 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,84,tablet,10.02.02,Skeletal muscle relaxants
21375,BACLOFEN,30,Oral,mg,OD,Tablets,10 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,84,tablet,10.02.02,Skeletal muscle relaxants
21376,BACLOFEN,40,Oral,mg,BD,Tablets,10 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,84,tablet,10.02.02,Skeletal muscle relaxants
21377,BACLOFEN,30,Oral,mg,OD,Tablets,10 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,84,tablet,10.02.02,Skeletal muscle relaxants
21378,ROSUVASTATIN,40,Oral,mg,ON,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
21379,FINASTERIDE,5,Oral,mg,OD,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.04.02,Pack,28,tablet,06.04.02,Male sex hormones and antagonists
21382,ALLOPURINOL,100,Oral,mg,TDS,Tablets,100 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Pack,28,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
21384,HYOSCINE BUTYLBROMIDE,10,Oral,mg,TDS,Tablets,10 mg,N,GASTRO-INTESTINAL SYSTEM,1.02,Bottle,56,tablet,1.02,Antispasmodics and other drugs altering gut motility
21389,SPIRONOLACTONE,200,Oral,mg,OM,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,28,tablet,02.02.03,Potassium-sparing diuretics and aldosterone antagonists
21392,ONDANSETRON,4,Oral,mg,BD,Tablets,4 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,tablet,4.06,Drugs used in nausea and vertigo
21393,ONDANSETRON,4,Oral,mg,BD,Tablets,4 mg,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,30,tablet,4.06,Drugs used in nausea and vertigo
21395,METOCLOPRAMIDE,5,Oral,mg,BD,Tablets,10 mg,N,GASTRO-INTESTINAL SYSTEM,1.02,Pack,28,tablet,1.02,Antispasmodics and other drugs altering gut motility
21400,CYCLIZINE,50,Oral,mg,BD,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Bottle,100,tablet,4.06,Drugs used in nausea and vertigo
21401,CHLORPROMAZINE,200,Oral,mg,ON,Tablets,100 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
21402,CHLORPROMAZINE,50,Oral,mg,OM,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
21405,CLARITHROMYCIN,250,Oral,mg,OD,Tablets,250 mg,N,INFECTIONS,05.01.05,Pack,14,tablet,05.01.05,Macrolides
21406,NEBIVOLOL,3.75,Oral,mg,OM,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
21410,CILOSTAZOL,100,Oral,mg,BD,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,02.06.04,Pack,56,tablet,02.06.04,Peripheral vasodilators and related drugs
21418,ROPINIROLE,"1,000.00",Oral,microgram,ON,Tablets,500 microgram,Y,CENTRAL NERVOUS SYSTEM,04.09.01,Pack,28,tablet,04.09.01,Dopaminergic drugs used in parkinsonism
21427,FOLIC ACID,5,Oral,mg,TDS,Tablets,5 mg,N,NUTRITION AND BLOOD,09.01.02,Pack,28,tablet,09.01.02,Drugs used in megaloblastic anaemias
21428,CARBAMAZEPINE 'TEGRETOL',100,Oral,mg,ON,Tablets,100 mg,Y,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,84,tablet,04.08.01,Control of epilepsy
21429,ESCITALOPRAM,40,Oral,mg,OM,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,28,tablet,04.03.03,Selective serotonin re-uptake inhibitors
21434,MIDODRINE,5,Oral,mg,TDS,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Pack,50,tablet,02.07.02,Vasoconstrictor sympathomimetics
21435,MIDODRINE,5,Oral,mg,TDS,Tablets,5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Pack,100,tablet,02.07.02,Vasoconstrictor sympathomimetics
21436,MIDODRINE,2.5,Oral,mg,OM,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Bottle,50,tablet,02.07.02,Vasoconstrictor sympathomimetics
21437,MIDODRINE,2.5,Oral,mg,OM,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Pack,100,tablet,02.07.02,Vasoconstrictor sympathomimetics
21438,MIDODRINE,5,Oral,mg,OD,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Bottle,50,tablet,02.07.02,Vasoconstrictor sympathomimetics
21439,MIDODRINE,5,Oral,mg,OD,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Pack,100,tablet,02.07.02,Vasoconstrictor sympathomimetics
21442,MIDODRINE,5,Oral,mg,BD,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Bottle,50,tablet,02.07.02,Vasoconstrictor sympathomimetics
21443,MIDODRINE,5,Oral,mg,BD,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.07.02,Pack,100,tablet,02.07.02,Vasoconstrictor sympathomimetics
21446,HYDROCORTISONE,20,Oral,mg,BD,Tablets,10 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,30,tablet,06.03.02,Glucocorticoid therapy
21448,LAMIVUDINE,150,Oral,mg,OD,Tablets,150 mg,N,INFECTIONS,05.03.01,Pack,60,tablet,05.03.01,HIV infection
21450,LAMIVUDINE,300,Oral,mg,OM,Tablets,150 mg,N,INFECTIONS,05.03.01,Pack,60,tablet,05.03.01,HIV infection
21452,NEVIRAPINE,200,Oral,mg,OD,Tablets,200 mg,N,INFECTIONS,05.03.01,Pack,60,tablet,05.03.01,HIV infection
21459,LEVETIRACETAM,2,Oral,g,ON,Tablets,1 g,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
21474,TRIMETHOPRIM,200,Oral,mg,BD,Tablets,200 mg,Y,INFECTIONS,05.01.08,Pack,14,tablet,05.01.08,Sulfonamides and trimethoprim
21481,ISOSORBIDE MONONITRATE,60,Oral,mg,BD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.01,Pack,56,tablet,02.06.01,Nitrates
21484,PRAMIPEXOLE,176,Oral,microgram,ON,Tablets,88 microgram,Y,CENTRAL NERVOUS SYSTEM,04.09.01,Pack,30,tablet,04.09.01,Dopaminergic drugs used in parkinsonism
21488,BISOPROLOL,2.5,NG,mg,BD,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
21490,TOPIRAMATE,50,Oral,mg,BD,Tablets,25 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
21491,ISOSORBIDE MONONITRATE,20,Oral,mg,OM,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,02.06.01,Bottle,56,tablet,02.06.01,Nitrates
21494,PROPRANOLOL,20,Oral,mg,TDS,Tablets,40 mg,Y,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
21495,GLYCOPYRRONIUM BROMIDE,2,Oral,mg,OM,Tablets,1 mg,N,SKIN,13.12,Pack,30,tablet,13.12,Antiperspirants
21498,IBUPROFEN,200,Oral,mg,BD,Tablets,200 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,24,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
21499,IBUPROFEN,200,Oral,mg,BD,Tablets,200 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,84,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
21502,SPIRONOLACTONE,25,Oral,mg,BD,Tablets,25 mg,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,28,tablet,02.02.03,Potassium-sparing diuretics and aldosterone antagonists
21503,INDAPAMIDE,2.5,PO / NG / PEG,mg,OM,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.02.01,Pack,28,tablet,02.02.01,Thiazides and related diuretics
21506,INDAPAMIDE,10,Oral,mg,OM,Tablets,2.5 mg,N,CARDIVASCULAR SYSTEM,02.02.01,Pack,28,tablet,02.02.01,Thiazides and related diuretics
21514,NICORANDIL,10,Oral,mg,BD,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,60,tablet,02.06.03,Other antianginal drugs
21517,AZATHIOPRINE,25,Oral,mg,OM,Tablets,25 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,28,tablet,08.02.01,Antiproliferative immunosuppressants
21518,AZATHIOPRINE,25,Oral,mg,OM,Tablets,25 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,100,tablet,08.02.01,Antiproliferative immunosuppressants
21531,EPLERENONE,10,Oral,mg,OM,Tablets,25 mg,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,28,tablet,02.02.03,Potassium-sparing diuretics and aldosterone antagonists
21532,NICORANDIL,10,Oral,mg,BD,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,02.06.03,Pack,60,tablet,02.06.03,Other antianginal drugs
21535,BETAHISTINE,16,Oral,mg,BD,Tablets,16 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,84,tablet,4.06,Drugs used in nausea and vertigo
21542,LEVETIRACETAM,"1,500.00",Oral,mg,BD,Tablets,500 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
21547,PREDNISOLONE,40,Oral,mg,QDS,Tablets,5 mg,N,ENDOCRINE SYSTEM,06.03.02,Pack,28,tablet,06.03.02,Glucocorticoid therapy
21556,OXYTETRACYCLINE,500,Oral,mg,QDS,Tablets,250 mg,Y,INFECTIONS,05.01.03,Pack,28,tablet,05.01.03,Tetracyclines
21557,OXYTETRACYCLINE,500,Oral,mg,QDS,Tablets,250 mg,N,INFECTIONS,05.01.03,Pack,28,tablet,05.01.03,Tetracyclines
21558,HALOPERIDOL,500,Oral,microgram,BD,Tablets,500 microgram,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
21559,HALOPERIDOL,500,Oral,microgram,BD,Tablets,500 microgram,Y,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,28,tablet,04.02.01,Antipsychotic drugs
21561,TOPIRAMATE,150,Oral,mg,BD,Tablets,50 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
21564,BENDROFLUMETHIAZIDE,2.5,Oral,mg,OM,Tablets,2.5 mg,Y,CARDIVASCULAR SYSTEM,02.02.01,Pack,28,tablet,02.02.01,Thiazides and related diuretics
21566,LORAZEPAM,"1,500.00",Oral,microgram,ON,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
21570,DIAZEPAM,2.5,Oral,mg,BD,Tablets,5 mg,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
21574,CEFUROXIME,500,Oral,mg,TDS,Tablets,250 mg,N,INFECTIONS,05.01.02,Pack,14,tablet,05.01.02,Cephalosporins and other beta-lactams
21577,FLUDROCORTISONE,300,PEG,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,30,tablet,06.03.01,Replacement therapy
21578,FLUDROCORTISONE,300,PEG,microgram,OM,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,100,tablet,06.03.01,Replacement therapy
21598,ROSUVASTATIN,20,Oral,mg,OM,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
21601,LERCANIDIPINE,10,NG,mg,OM,Tablets,10 mg,N,CARDIVASCULAR SYSTEM,02.06.02,Pack,28,tablet,02.06.02,Calcium-channel blockers
21607,THIAMINE,100,Oral,mg,OD,Tablets,100 mg,N,NUTRITION AND BLOOD,09.06.02,Pack,28,tablet,09.06.02,Vitamin B group
21608,THIAMINE,100,Oral,mg,OD,Tablets,100 mg,N,NUTRITION AND BLOOD,09.06.02,Bottle,100,tablet,09.06.02,Vitamin B group
21626,COLCHICINE,500,Oral,microgram,BD,Tablets,500 microgram,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.04,Bottle,100,tablet,10.01.04,Gout and cytotoxic induced hyperuicaemia
21633,PROPRANOLOL,40,Oral,mg,BD,Tablets,40 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,28,tablet,2.04,Beta-adrenoceptor blocking drugs
21635,LOPERAMIDE,4,Oral,mg,QDS,Tablets,2 mg,N,GASTRO-INTESTINAL SYSTEM,01.04.02,Pack,30,tablet,01.04.02,Antimotility drugs
21636,LOPERAMIDE,8,Oral,mg,QDS,Tablets,2 mg,N,GASTRO-INTESTINAL SYSTEM,01.04.02,Pack,30,tablet,01.04.02,Antimotility drugs
21640,DIGOXIN,500,Oral,microgram,OM,Tablets,250 microgram,N,CARDIVASCULAR SYSTEM,02.01.01,Pack,28,tablet,02.01.01,Cardiac glycosides
21644,PYRIDOSTIGMINE BROMIDE,30,Oral,mg,TDS,Tablets,60 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.01,Bottle,200,tablet,10.02.01,Drugs which enhance neuromuscular transmission
21647,VENLAFAXINE,75,NG,mg,BD,Tablets,75 mg,N,CENTRAL NERVOUS SYSTEM,04.03.04,Pack,56,tablet,04.03.04,Other antidepressant drugs
21652,LEVETIRACETAM,500,Oral,mg,BD,Tablets,250 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,60,tablet,04.08.01,Control of epilepsy
21653,LEVAMISOLE,200,Oral,mg,BD,Tablets,50 mg,N,INFECTIONS,05.05.02,Pack,100,tablet,05.05.02,Ascaricides
21655,MYCOPHENOLATE MOFETIL,"1,000.00",Oral,mg,OD,Tablets,500 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.02.01,Pack,50,tablet,08.02.01,Antiproliferative immunosuppressants
21663,VORTIOXETINE,15,Oral,mg,BD,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.03.04,Pack,28,tablet,04.03.04,Other antidepressant drugs
21664,VORTIOXETINE,20,Oral,mg,OM,Tablets,5 mg,N,CENTRAL NERVOUS SYSTEM,04.03.04,Pack,28,tablet,04.03.04,Other antidepressant drugs
21665,DIHYDROCODEINE,30,Oral,mg,ON,Tablets,30 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,28,tablet,04.07.02,Opioid analgesics
21666,DIHYDROCODEINE,30,Oral,mg,ON,Tablets,30 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,30,tablet,04.07.02,Opioid analgesics
21668,PARACETAMOL ,"1,000.00",Oral,mg,ON,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,32,Tablet,04.07.01,Non-opioid analgesics and compound preparations
21669,PARACETAMOL ,"1,000.00",Oral,mg,ON,Tablets,500 mg,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Pack,100,Tablet,04.07.01,Non-opioid analgesics and compound preparations
21674,BACLOFEN,30,Oral,mg,BD,Tablets,10 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,84,tablet,10.02.02,Skeletal muscle relaxants
21675,TIZANIDINE,2,Oral,mg,BD,Tablets,2 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,120,tablet,10.02.02,Skeletal muscle relaxants
21679,TIZANIDINE,2,Oral,mg,BD,Tablets,2 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,120,tablet,10.02.02,Skeletal muscle relaxants
21687,BACLOFEN,30,Oral,mg,OM,Tablets,10 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,84,tablet,10.02.02,Skeletal muscle relaxants
21688,TIZANIDINE,2,Oral,mg,OM,Tablets,2 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,120,tablet,10.02.02,Skeletal muscle relaxants
21690,NALOXEGOL,12,Oral,mg,OM,Tablets,12.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.06,Pack,30,tablet,01.06.06,Peripheral opioid-receptor antagonists
21693,TIZANIDINE,2,Oral,mg,BD,Tablets,2 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Pack,120,tablet,10.02.02,Skeletal muscle relaxants
21694,LABETALOL,300,Oral,mg,TDS,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,2.04,Pack,56,tablet,2.04,Beta-adrenoceptor blocking drugs
21700,AMIODARONE,100,Oral,mg,TDS,Tablets,100 mg,N,CARDIVASCULAR SYSTEM,02.03.02,Pack,28,tablet,02.03.02,Drugs for arrhythmias
21703,HYDROXYCHLOROQUINE,200,Oral,mg,BD,Tablets,200 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.01.03,Pack,60,tablet,10.01.03,Rheumatic disease suppressant drugs
21704,DIAZEPAM,1,Oral,mg,TDS,Tablets,2 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
21705,DIAZEPAM,1.5,Oral,mg,TDS,Tablets,2 mg,N,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
21707,SPIRONOLACTONE,25,Oral,mg,BD,Tablets,25 mg,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,28,tablet,02.02.03,Potassium-sparing diuretics and aldosterone antagonists
21717,TRAMETINIB ,2,Oral,mg,OM,Tablets,2 mg,N,MALIGNANT DISEASE AND IMMUNOSUPPRESSION,08.01.05,Pack,30,tablet,08.01.05,Other antineoplastic drugs
21721,ATORVASTATIN,40,Oral,mg,OM,Tablets,20 mg,N,CARDIVASCULAR SYSTEM,2.12,Pack,28,tablet,2.12,Lipid-regulating drugs
21725,ACETYLCYSTEINE,600,Oral,mg,ON,Tablets,600 mg,N,RESPIRATORY SYSTEM,3.07,Pack,30,tablet,3.07,Mucolytics
21736,LORAZEPAM,"1,000.00",Oral,microgram,OD,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
21737,LORAZEPAM,"2,000.00",Oral,microgram,ON,Tablets,1 mg,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,28,tablet,04.01.02,Anxiolytics
21738,FLECAINIDE,50,Oral,mg,BD,Tablets,50 mg,N,CARDIVASCULAR SYSTEM,02.03.02,Pack,60,tablet,02.03.02,Drugs for arrhythmias
21739,FLECAINIDE,59,Oral,mg,BD,Tablets,50 mg,N,CARDIVASCULAR SYSTEM,02.03.02,Pack,60,tablet,02.03.02,Drugs for arrhythmias
21744,ONDANSETRON,4,Oral,mg,QDS,Tablets,4 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Pack,10,tablet,4.06,Drugs used in nausea and vertigo
21745,ONDANSETRON,4,Oral,mg,QDS,Tablets,4 mg,N,CENTRAL NERVOUS SYSTEM,4.06,Bottle,30,tablet,4.06,Drugs used in nausea and vertigo
21750,SENNA,2,Oral,tablet,BD,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,20,tablet,01.06.02,Stimulant laxatives
21751,SENNA,2,Oral,tablet,BD,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,60,tablet,01.06.02,Stimulant laxatives
21752,SENNA,2,Oral,tablet,BD,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,100,tablet,01.06.02,Stimulant laxatives
21753,SENNA,2,Oral,tablet,BD,Tablets,7.5 mg,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Pack,500,tablet,01.06.02,Stimulant laxatives
21755,FLUDROCORTISONE,150,Oral,microgram,BD,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,30,tablet,06.03.01,Replacement therapy
21756,FLUDROCORTISONE,150,Oral,microgram,BD,Tablets,100 microgram,N,ENDOCRINE SYSTEM,06.03.01,Pack,100,tablet,06.03.01,Replacement therapy
21757,PYRIDOSTIGMINE BROMIDE,30,Oral,mg,TDS,Tablets,60 mg,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.01,Bottle,200,tablet,10.02.01,Drugs which enhance neuromuscular transmission
21764,AMITRIPTYLINE,10,Oral,mg,TDS,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.03.01,Pack,28,tablet,04.03.01,Tricyclic and related antidepressant drugs
21769,ASCORBIC ACID,100,Oral,mg,OD,Tablets,100 mg,N,NUTRITION AND BLOOD,09.06.03,Pack,28,tablet,09.06.03,Vitamin C
21771,ASCORBIC ACID,100,Oral,mg,OM,Tablets,100 mg,N,NUTRITION AND BLOOD,09.06.03,Pack,28,tablet,09.06.03,Vitamin C
21777,CLONIDINE,50,Oral,microgram,OM,Tablets,100 microgram,N,CARDIVASCULAR SYSTEM,02.05.02,Pack,100,tablet,02.05.02,Centrally-acting antihypertensive drugs
21780,CLOBAZAM,20,Oral,mg,BD,Tablets,10 mg,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,30,tablet,04.08.01,Control of epilepsy
21791,IBUPROFEN,200,Oral,mg,TDS,Tablets,200 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,24,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
21792,IBUPROFEN,200,Oral,mg,TDS,Tablets,200 mg,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.01.01,Pack,84,tablet,10.01.01,Non-steroidal anti-inflammatory drugs
