drug,primary_dose,route,primary_dose_description,frequency_description,c_form,c_strength,c_mddf_number,prn,bnf_description,bnf_chapter,container_description,du_cont,unit_description,strength
MORPHINE SULFATE [:CONCENTRATED],2.5,Oral,mg,Every 2 hours,Oral Solution Sugar Free,20 mg/ml,1006390,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,120,mL,"['20 mg', 'ml']"
DIGOXIN PAEDIATRIC,100,PEG,microgram,OM,Oral Solution,50 micrograms/1ml,1003618,N,CARDIVASCULAR SYSTEM,02.01.01,Bottle,60,mL,"['50 micrograms', '1ml']"
DIGOXIN PAEDIATRIC,50,PEG,microgram,OM,Oral Solution,50 micrograms/1ml,1003618,N,CARDIVASCULAR SYSTEM,02.01.01,Bottle,60,mL,"['50 micrograms', '1ml']"
SERTRALINE,100,PO / NG / PEG,mg,OM,Oral Suspension,50 mg/5ml,1013840,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['50 mg', '5ml']"
CO-TRIMOXAZOLE [:ADULT],"1,440.00",Oral,mg,BD,Oral Suspension,480 mg/5ml,1004646,N,INFECTIONS,05.01.08,Pack,100,mL,"['480 mg', '5ml']"
CARBAMAZEPINE 'TEGRETOL',400,Oral,mg,OD,Oral Suspension,100 mg/5ml,1003114,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['100 mg', '5ml']"
CARBAMAZEPINE 'TEGRETOL',400,Oral,mg,OM,Oral Suspension,100 mg/5ml,1003114,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['100 mg', '5ml']"
SODIUM VALPROATE,10,Oral,mg,BD,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
OXYCODONE,15,Oral,mg,Every 2 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,OM,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,5,Oral,mg,OM,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
TRAZODONE,25,Oral,mg,OD,Oral Solution Sugar Free,50 mg/5ml,1004858,N,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,120,mL,"['50 mg', '5ml']"
AZITHROMYCIN,200,PEG,mg,OM,Oral Suspension,200 mg/5ml,2005476,N,INFECTIONS,05.01.05,Pack,30,mL,"['200 mg', '5ml']"
OXYCODONE,15,Oral,mg,Every hour,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2.5,Oral,mg,TDS,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
RISPERIDONE,0.25,Oral,mg,BD,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
LORATADINE,0.5,PO / NG / PEG,mg,ON,Oral Solution,5 mg/5ml,2005567,Y,RESPIRATORY SYSTEM,03.04.01,Bottle,100,mL,"['5 mg', '5ml']"
SODIUM VALPROATE,400,Oral,mg,alternate days,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
OXYCODONE,15,Oral,mg,Every 3 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,15,Oral,mg,4H,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
BACLOFEN,30,Oral,mg,TDS,Oral Solution Sugar Free,5 mg/5ml,1018807,Y,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE CONCENTRATED,5,Oral,mg,QDS,Oral Solution Sugar Free,10 mg/ml,2009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,120,mL,"['10 mg', 'ml']"
LEVETIRACETAM,"1,000.00",Oral,mg,ON,Oral Solution Sugar Free,100 mg/ml,1012804,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,300,mL,"['100 mg', 'ml']"
PAROXETINE,50,NG,mg,OM,Liquid,10 mg/5ml,3006509,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['10 mg', '5ml']"
DIAZEPAM,"1,000.00",Oral,microgram,8H,Oral Solution Sugar Free,2 mg/5ml,1013950,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Bottle,100,mL,"['2 mg', '5ml']"
MORPHINE SULFATE,1.5,Oral,mg,Every 2 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,1.5,Oral,mg,Every 2 hours,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,OM,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
MORPHINE SULFATE,1.2,Oral,mg,1.25-2mg for SOB PRN,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,1.2,Oral,mg,1.25-2mg for SOB PRN,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
CARBOCISTEINE,750,PEG,mg,BD,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
CARBAMAZEPINE 'TEGRETOL',200,Oral,mg,ON,Oral Suspension,100 mg/5ml,1003114,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['100 mg', '5ml']"
CARBAMAZEPINE 'TEGRETOL',150,Oral,mg,BD,Oral Suspension,100 mg/5ml,1003114,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['100 mg', '5ml']"
CARBAMAZEPINE 'TEGRETOL',"1,000.00",Oral,mg,ON,Oral Suspension,100 mg/5ml,1003114,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['100 mg', '5ml']"
CARBAMAZEPINE 'TEGRETOL',750,Oral,mg,BD,Oral Suspension,100 mg/5ml,1003114,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['100 mg', '5ml']"
BACLOFEN,25,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
SODIUM PICOSULFATE,10,Oral,mg,ON,Oral Solution,5 mg/5ml,1004727,Y,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,100,mL,"['5 mg', '5ml']"
PAROXETINE,10,NG,mg,OM,Liquid,10 mg/5ml,3006509,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['10 mg', '5ml']"
PROMAZINE,100,Oral,mg,BD,Oral Solution,50 mg/5ml,2004614,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,150,mL,"['50 mg', '5ml']"
PROMAZINE,200,Oral,mg,BD,Oral Solution,50 mg/5ml,2004614,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,150,mL,"['50 mg', '5ml']"
PROMAZINE,200,Oral,mg,TDS,Oral Solution,50 mg/5ml,2004614,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,150,mL,"['50 mg', '5ml']"
PROMAZINE,200,Oral,mg,QDS,Oral Solution,50 mg/5ml,2004614,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,150,mL,"['50 mg', '5ml']"
OXYCODONE,12,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,12,Oral,mg,Every 3 hours,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
GLYCOPYRRONIUM BROMIDE,"1,000.00",Oral,microgram,8H,Oral Solution,1 mg/5ml,1013916,N,SKIN,13.12,Pack,150,mL,"['1 mg', '5ml']"
GLYCOPYRRONIUM BROMIDE,"1,000.00",Oral,microgram,8H,Oral Solution,1 mg/5ml,1013916,N,SKIN,13.12,Pack,200,mL,"['1 mg', '5ml']"
GLYCOPYRRONIUM BROMIDE,400,Oral,microgram,TDS,Oral Solution,1 mg/5ml,1013916,N,SKIN,13.12,Pack,150,mL,"['1 mg', '5ml']"
GLYCOPYRRONIUM BROMIDE,"1,000.00",Oral,microgram,TDS,Oral Solution,1 mg/5ml,1013916,N,SKIN,13.12,Pack,150,mL,"['1 mg', '5ml']"
GLYCOPYRRONIUM BROMIDE,400,Oral,microgram,TDS,Oral Solution,1 mg/5ml,1013916,N,SKIN,13.12,Pack,200,mL,"['1 mg', '5ml']"
GLYCOPYRRONIUM BROMIDE,"1,000.00",Oral,microgram,TDS,Oral Solution,1 mg/5ml,1013916,N,SKIN,13.12,Pack,200,mL,"['1 mg', '5ml']"
PROPRANOLOL,40,PO / NG / PEG,mg,BD,Oral Solution Sugar Free,10 mg/5ml,3002877,N,CARDIVASCULAR SYSTEM,2.04,Pack,150,mL,"['10 mg', '5ml']"
RISPERIDONE,0.25,Oral,mg,ON,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
HALOPERIDOL,1.5,Oral,mg,TDS,Oral Solution Sugar Free,10 mg/5ml,1018532,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,100,mL,"['10 mg', '5ml']"
BACLOFEN,40,Oral,mg,ON,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
BACLOFEN,30,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
PROCHLORPERAZINE,5,PO / NG / PEG,mg,TDS,Oral Solution,5 mg/5ml,1004605,N,CENTRAL NERVOUS SYSTEM,4.06,Bottle,100,mL,"['5 mg', '5ml']"
HALOPERIDOL,2.5,Oral,mg,QDS,Oral Solution Sugar Free,10 mg/5ml,1018532,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,100,mL,"['10 mg', '5ml']"
ONDANSETRON,"4,000.00",PEG,microgram,TDS,Oral Solution Sugar Free,4 mg/5ml,1009536,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,50,mL,"['4 mg', '5ml']"
CARBOCISTEINE,500,PEG,mg,BD,Oral Solution,250 mg/5ml,3003129,N,RESPIRATORY SYSTEM,3.07,Bottle,300,mL,"['250 mg', '5ml']"
METFORMIN,750,PEG,mg,TDS,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,100,mL,"['500 mg', '5ml']"
METFORMIN,750,PEG,mg,TDS,Oral Solution,500 mg/5ml,9007016,N,ENDOCRINE SYSTEM,06.01.02.02,Pack,150,mL,"['500 mg', '5ml']"
GLYCOPYRRONIUM [:EXTEMP],200,Oral,microgram,4H,Oral Solution,1 mg/10mL,1019580,N,ANAESTHESIA,15.01.03,Batch,40,mL,"['1 mg', '10mL']"
OXYCODONE,7.5,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
CLARITHROMYCIN,500,Oral,mg,TDS,Oral Suspension,250 mg/5ml,9005628,N,INFECTIONS,05.01.05,Pack,1,mL,"['250 mg', '5ml']"
DEXAMETHASONE,8,PEG,mg,BD,Oral Solution Sugar Free,10 mg/5ml,1021079,N,RESPIRATORY SYSTEM,03.01.01.01,Pack,50,mL,"['10 mg', '5ml']"
DEXAMETHASONE,8,PEG,mg,BD,Oral Solution Sugar Free,10 mg/5ml,1021079,N,RESPIRATORY SYSTEM,03.01.01.01,Pack,150,mL,"['10 mg', '5ml']"
DEXAMETHASONE,800,PEG,microgram,BD,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,75,mL,"['2 mg', '5ml']"
DEXAMETHASONE,800,PEG,microgram,BD,Oral Solution Sugar Free,2 mg/5ml,1007189,N,ENDOCRINE SYSTEM,06.03.02,Bottle,150,mL,"['2 mg', '5ml']"
DEXAMETHASONE,8,Oral,mg,BD,Oral Solution Sugar Free,10 mg/5ml,1021079,N,RESPIRATORY SYSTEM,03.01.01.01,Pack,50,mL,"['10 mg', '5ml']"
DEXAMETHASONE,8,Oral,mg,BD,Oral Solution Sugar Free,10 mg/5ml,1021079,N,RESPIRATORY SYSTEM,03.01.01.01,Pack,150,mL,"['10 mg', '5ml']"
FLUCONAZOLE,50,PEG,mg,OM,Oral Suspension,50 mg/5ml,1004021,N,INFECTIONS,5.02,Bottle,1,mL,"['50 mg', '5ml']"
PARACETAMOL,500,NG / PEG,mg,QDS,Oral Suspension,250 mg/5ml,2004531,N,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,500,mL,"['250 mg', '5ml']"
ONDANSETRON,"4,000.00",PEG,microgram,BD,Oral Solution Sugar Free,4 mg/5ml,1009536,Y,CENTRAL NERVOUS SYSTEM,4.06,Bottle,50,mL,"['4 mg', '5ml']"
SODIUM VALPROATE,200,PO / NG / PEG,mg,TDS,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
GABAPENTIN,600,PEG,mg,OM,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
GABAPENTIN,300,PEG,mg,OM,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
GABAPENTIN,600,PEG,mg,OM,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
GABAPENTIN,300,PEG,mg,TDS,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
GABAPENTIN,300,PEG,mg,BD,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
GABAPENTIN,300,Oral,mg,OM,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
BACLOFEN,20,PEG,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
BACLOFEN,20,PEG,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
SODIUM VALPROATE,200,PEG,mg,TDS,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
SODIUM VALPROATE,200,PEG,mg,TDS,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
CIPROFLOXACIN,500,Oral,mg,BD,Oral Suspension,250 mg/5ml,3006920,N,INFECTIONS,05.01.12,Pack,1,mL,"['250 mg', '5ml']"
SODIUM VALPROATE,200,Oral,mg,TDS,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
OXYCODONE,10,Oral,mg,3 hourly PRN,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
METHADONE (contains sugar),15,Oral,mg,BD,Oral Solution,1 mg/ml,9000487,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['1 mg', 'ml']"
KETAMINE (ORANGE),10,Oral,mg,TDS,Oral Solution,50 mg/5ml,1019238,N,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
MORPHINE SULFATE,1.5,Oral,mg,ON,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,1.5,Oral,mg,ON,Oral Solution,10 mg/5ml,1005227,N,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
DOCUSATE,20,Oral,mg,BD,Oral Solution Sugar Free,50 mg/5ml,2003674,N,GASTRO-INTESTINAL SYSTEM,01.06.02,Bottle,300,mL,"['50 mg', '5ml']"
METRONIDAZOLE,400,Oral,mg,BD,Oral Suspension,200 mg/5ml,1006405,N,INFECTIONS,05.01.11,Bottle,100,mL,"['200 mg', '5ml']"
OXYCODONE,2.5,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
OXYCODONE,5,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
PARACETAMOL SUGAR FREE,500,Oral,mg,QDS,Oral Suspension,250 mg/5ml,2005478,Y,CENTRAL NERVOUS SYSTEM,04.07.01,Bottle,100,mL,"['250 mg', '5ml']"
SPIRONOLACTONE,25,Oral,mg,OM,Oral Suspension,25 mg/5ml,1018921,N,CARDIVASCULAR SYSTEM,02.02.03,Pack,125,mL,"['25 mg', '5ml']"
SERTRALINE,150,Oral,mg,OM,Oral Suspension,50 mg/5ml,1013840,N,CENTRAL NERVOUS SYSTEM,04.03.03,Pack,150,mL,"['50 mg', '5ml']"
TRAZODONE,50,Oral,mg,OD,Oral Solution Sugar Free,50 mg/5ml,1004858,Y,CENTRAL NERVOUS SYSTEM,04.03.01,Bottle,120,mL,"['50 mg', '5ml']"
RISPERIDONE,0.25,Oral,mg,BD,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
SODIUM VALPROATE,"1,000.00",Oral,mg,BD,Oral Solution,200 mg/5ml,2005431,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,300,mL,"['200 mg', '5ml']"
LEVETIRACETAM,"1,250.00",PEG,mg,BD,Oral Solution Sugar Free,100 mg/ml,1012804,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,300,mL,"['100 mg', 'ml']"
TRIHEXYPHENIDYL,5,PEG,mg,BD,Oral Solution,5 mg/5ml,9009010,N,CENTRAL NERVOUS SYSTEM,04.09.02,Bottle,200,mL,"['5 mg', '5ml']"
PROPRANOLOL,20,PEG,mg,BD,Oral Solution Sugar Free,40 mg/5ml,1007172,N,CARDIVASCULAR SYSTEM,2.04,Pack,150,mL,"['40 mg', '5ml']"
METHADONE,45,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,45,Oral,mg,OM,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METHADONE (contains sugar),10,Oral,mg,BD,Oral Solution,1 mg/ml,9000487,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['1 mg', 'ml']"
METHADONE (contains sugar),20,Oral,mg,ON,Oral Solution,1 mg/ml,9000487,N,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['1 mg', 'ml']"
PHENYTOIN,472.5,Oral,mg,ON,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,250,mL,"['30 mg', '5ml']"
PHENYTOIN,472.5,Oral,mg,ON,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,500,mL,"['30 mg', '5ml']"
OXYCODONE,1.25,Oral,mg,BD,Oral Solution Sugar Free,5 mg/5ml,1009043,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,250,mL,"['5 mg', '5ml']"
LORAZEPAM,1,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,2004007,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Batch,50,mL,"['5 mg', '5ml']"
LORAZEPAM,1,Oral,mg,QDS,Oral Solution Sugar Free,5 mg/5ml,2004007,Y,CENTRAL NERVOUS SYSTEM,04.01.02,Pack,150,mL,"['5 mg', '5ml']"
KETAMINE (ORANGE),30,Oral,mg,TDS,Oral Solution,50 mg/5ml,1019238,Y,ANAESTHESIA,15.01.01,Pack,300,mL,"['50 mg', '5ml']"
GABAPENTIN,400,Oral,mg,tds,Oral Solution,250 mg/5ml,1013637,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,150,mL,"['250 mg', '5ml']"
CHLORPROMAZINE,25,Oral,mg,ON,Oral Solution,25 mg/5ml,3003309,N,CENTRAL NERVOUS SYSTEM,04.02.01,Pack,150,mL,"['25 mg', '5ml']"
DESLORATADINE,"2,500.00",Oral,microgram,OM,Oral Solution,2.5 mg/5ml,1017635,N,RESPIRATORY SYSTEM,03.04.01,Bottle,100,mL,"['2.5 mg', '5ml']"
DESLORATADINE,"2,500.00",Oral,microgram,OM,Oral Solution,2.5 mg/5ml,1017635,N,RESPIRATORY SYSTEM,03.04.01,Pack,150,mL,"['2.5 mg', '5ml']"
PHENYTOIN,270,Oral,mg,OM,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,250,mL,"['30 mg', '5ml']"
PHENYTOIN,270,Oral,mg,OM,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,500,mL,"['30 mg', '5ml']"
LEVETIRACETAM,750,PO / NG / PEG,mg,BD,Oral Solution Sugar Free,100 mg/ml,1012804,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,300,mL,"['100 mg', 'ml']"
CIPROFLOXACIN,500,Oral,mg,OD,Oral Suspension,250 mg/5ml,3006920,N,INFECTIONS,05.01.12,Pack,1,mL,"['250 mg', '5ml']"
MORPHINE SULFATE,2,Oral,mg,AS DIRECTED BY PRESCRIBER,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Bottle,100,mL,"['10 mg', '5ml']"
MORPHINE SULFATE,2,Oral,mg,AS DIRECTED BY PRESCRIBER,Oral Solution,10 mg/5ml,1005227,Y,CENTRAL NERVOUS SYSTEM,04.07.02,Pack,300,mL,"['10 mg', '5ml']"
PHENYTOIN,276,Oral,mg,ON,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,250,mL,"['30 mg', '5ml']"
PHENYTOIN,276,Oral,mg,ON,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,500,mL,"['30 mg', '5ml']"
PHENYTOIN,90,Oral,mg,TDS,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,250,mL,"['30 mg', '5ml']"
PHENYTOIN,90,Oral,mg,TDS,Oral Suspension,30 mg/5ml,2004467,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,500,mL,"['30 mg', '5ml']"
ETHOSUXIMIDE,250,NG,mg,TDS,Oral Solution,250 mg/5ml,1003232,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,125,mL,"['250 mg', '5ml']"
ETHOSUXIMIDE,250,NG,mg,TDS,Oral Solution,250 mg/5ml,1003232,N,CENTRAL NERVOUS SYSTEM,04.08.01,Bottle,200,mL,"['250 mg', '5ml']"
ETHOSUXIMIDE,250,NG,mg,TDS,Oral Solution,250 mg/5ml,1003232,N,CENTRAL NERVOUS SYSTEM,04.08.01,Pack,250,mL,"['250 mg', '5ml']"
SPIRONOLACTONE,25,Oral,mg,OM,Oral Suspension,50 mg/5ml,1018922,N,CARDIVASCULAR SYSTEM,02.02.03,Bottle,125,mL,"['50 mg', '5ml']"
BACLOFEN,20,Oral,mg,OD,Oral Solution Sugar Free,5 mg/5ml,1018807,N,MUSCULOSKELETAL AND JOINT DISEASES,10.02.02,Bottle,300,mL,"['5 mg', '5ml']"
RISPERIDONE,0.5,Oral,mg,BD,Oral Solution,1 mg/ml,2000362,N,CENTRAL NERVOUS SYSTEM,04.02.01,Bottle,100,mL,"['1 mg', 'ml']"
SPIRONOLACTONE,50,Oral,mg,BD,Oral Suspension,50 mg/5ml,1018922,N,CARDIVASCULAR SYSTEM,02.02.03,Bottle,125,mL,"['50 mg', '5ml']"
SPIRONOLACTONE,100,Oral,mg,OD,Oral Suspension,50 mg/5ml,1018922,N,CARDIVASCULAR SYSTEM,02.02.03,Bottle,125,mL,"['50 mg', '5ml']"
METHADONE,2.5,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,2.5,Oral,mg,BD,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
METHADONE,5,Oral,mg,Each day at 10am,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,2.5,Oral,mg,Each day at 10am,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Pack,100,mL,"['1 mg', 'ml']"
METHADONE,5,Oral,mg,Each day at 10am,Oral Solution Sugar Free,1 mg/ml,11000487,N,CENTRAL NERVOUS SYSTEM,04.10.03,Bottle,500,mL,"['1 mg', 'ml']"
